frame,object_id,suspicion_score,triggered_reclassification
1,0,0.6,True
2,0,0.018,True
3,0,0.0164,True
3,2,0.6,True
4,0,0.0121,True
4,2,0.1005,True
5,0,0.0118,True
5,2,0.0299,True
6,0,0.01,True
6,2,0.0729,True
7,0,0.0255,True
7,2,0.2183,True
8,0,0.0894,True
8,2,0.4485,True
9,0,0.3321,True
9,2,0.4878,True
10,0,0.541,True
10,2,0.4998,True
11,0,0.5442,True
11,2,0.5001,True
12,0,0.5561,True
12,2,0.4946,True
13,0,0.5815,True
13,2,0.4837,True
14,0,0.5836,True
14,2,0.4876,True
15,0,0.5888,True
15,2,0.4881,True
16,0,0.5893,True
16,2,0.4888,True
17,0,0.587,True
17,2,0.4895,True
18,0,0.5872,True
18,2,0.4907,True
19,0,0.5898,True
19,2,0.493,True
20,0,0.5872,True
20,2,0.4951,True
21,0,0.5868,True
21,2,0.4971,True
22,0,0.5868,True
22,2,0.4983,True
23,0,0.5912,True
23,2,0.5012,True
24,0,0.5909,True
24,2,0.501,True
25,0,0.5897,True
25,2,0.5015,True
26,0,0.5924,True
26,2,0.5006,True
27,0,0.5899,True
27,2,0.4999,True
28,0,0.5905,True
28,2,0.4989,True
29,0,0.5915,True
29,2,0.4986,True
30,0,0.5933,True
30,2,0.4981,True
31,0,0.5944,True
31,2,0.4971,True
32,0,0.5948,True
32,2,0.4999,True
33,0,0.5954,True
33,2,0.4975,True
34,0,0.5986,True
34,2,0.4975,True
35,0,0.5986,True
35,2,0.4988,True
36,0,0.5986,True
36,2,0.5,True
37,0,0.598,True
37,2,0.5001,True
38,0,0.5955,True
38,2,0.4991,True
39,0,0.5955,True
39,2,0.4977,True
40,0,0.5958,True
40,2,0.5923,True
41,0,0.0035,True
41,2,0.0001,True
42,0,0.0015,True
42,2,0.0025,True
43,0,0.0039,True
43,2,0.0036,True
44,0,0.0066,True
44,2,0.0095,True
45,0,0.0001,True
45,2,0.0076,True
46,0,0.0031,True
46,2,0.0081,True
47,0,0.0005,True
47,2,0.0158,True
48,0,0.0008,True
