frame,object_id,suspicion_score,appearance_drift,tracking_drift,requested_reclassification,actual_reclassification
1,0,0.6,1.0,0.0,True,True
1,1,0.6,1.0,0.0,True,True
2,1,0.0051,0.0085,0.0,False,False
3,1,0.0528,0.0835,0.0067,False,False
4,1,0.0698,0.1119,0.0067,False,False
5,0,0.3459,0.5766,0.0,False,False
5,1,0.0696,0.1159,0.0,False,False
6,1,0.0735,0.1224,0.0,False,False
7,1,0.0771,0.1285,0.0,False,False
8,0,0.4276,0.7127,0.0,False,False
8,1,0.0883,0.1471,0.0,False,False
9,0,0.4492,0.7353,0.02,False,False
9,1,0.1215,0.2025,0.0,False,False
10,0,0.6528,0.7365,0.5272,True,True
10,1,0.1376,0.2293,0.0,False,False
11,0,0.2031,0.0002,0.5075,False,False
11,1,0.1697,0.2828,0.0,False,False
12,0,0.0032,0.0009,0.0067,False,False
12,1,0.2072,0.3454,0.0,False,False
13,0,0.0067,0.0023,0.0133,False,False
13,1,0.2527,0.4211,0.0,False,False
14,0,0.0047,0.0035,0.0067,False,False
14,1,0.29,0.4834,0.0,False,False
15,1,0.3327,0.5545,0.0,False,False
16,1,0.3652,0.6087,0.0,False,False
17,1,0.4261,0.7101,0.0,False,False
18,1,0.4297,0.7162,0.0,False,False
19,0,0.0094,0.0157,0.0,False,False
19,1,0.4345,0.7242,0.0,True,True
20,1,0.0,0.0001,0.0,False,False
21,1,0.0005,0.0009,0.0,False,False
22,1,0.0006,0.0011,0.0,False,False
23,0,0.0095,0.0114,0.0067,False,False
23,1,0.0009,0.0014,0.0,False,False
24,0,0.0093,0.011,0.0067,False,False
24,1,0.0012,0.002,0.0,False,False
25,0,0.0071,0.0119,0.0,False,False
25,1,0.0049,0.0081,0.0,False,False
26,1,0.0056,0.0094,0.0,False,False
27,0,0.0066,0.0109,0.0,False,False
27,1,0.0068,0.0113,0.0,False,False
28,0,0.0108,0.0135,0.0067,False,False
28,1,0.011,0.0184,0.0,False,False
29,1,0.0099,0.0166,0.0,False,False
30,0,0.0085,0.0142,0.0,False,False
30,1,0.0106,0.0132,0.0067,False,False
31,1,0.0064,0.0106,0.0,False,False
32,1,0.0083,0.0094,0.0067,False,False
33,1,0.0102,0.0126,0.0067,False,False
34,0,0.0132,0.022,0.0,False,False
34,1,0.0104,0.0128,0.0067,False,False
35,0,0.0129,0.0215,0.0,False,False
35,1,0.0106,0.0133,0.0067,False,False
36,1,0.0105,0.013,0.0067,False,False
37,1,0.0083,0.0139,0.0,False,False
38,0,0.0216,0.036,0.0,False,False
38,1,0.0143,0.0238,0.0,False,False
39,1,0.0155,0.0258,0.0,False,False
40,1,0.0192,0.0319,0.0,False,False
41,1,0.0204,0.034,0.0,False,False
42,1,0.0219,0.0366,0.0,False,False
43,1,0.0213,0.0355,0.0,False,False
44,0,0.0185,0.0246,0.0094,False,False
44,1,0.0204,0.034,0.0,False,False
45,1,0.021,0.035,0.0,False,False
46,0,0.0065,0.0109,0.0,False,False
46,1,0.0262,0.0437,0.0,False,False
47,0,0.0023,0.0038,0.0,False,False
47,1,0.036,0.0556,0.0067,False,False
48,0,0.0018,0.003,0.0,False,False
48,1,0.0403,0.0672,0.0,False,False
49,0,0.0054,0.009,0.0,False,False
49,1,0.0493,0.0778,0.0067,False,False
50,0,0.0126,0.0166,0.0067,False,False
50,1,0.0486,0.0765,0.0067,False,False
51,0,0.0206,0.0209,0.02,False,False
51,1,0.0492,0.082,0.0,False,False
52,0,0.0152,0.0254,0.0,False,False
52,1,0.0736,0.1182,0.0067,False,False
53,0,0.0216,0.022,0.0211,False,False
53,1,0.0958,0.1596,0.0,False,False
54,0,0.0069,0.0115,0.0,False,False
54,1,0.1109,0.1707,0.0211,False,False
55,0,0.0145,0.0108,0.02,False,False
55,1,0.1088,0.1813,0.0,False,False
56,0,0.0151,0.0074,0.0267,False,False
56,1,0.1119,0.1821,0.0067,False,False
57,0,0.0046,0.0077,0.0,False,False
57,1,0.1109,0.1848,0.0,False,False
58,0,0.0047,0.0078,0.0,False,False
58,1,0.115,0.1854,0.0094,False,False
59,0,0.0041,0.0068,0.0,False,False
59,1,0.1093,0.1822,0.0,False,False
60,0,0.0036,0.0061,0.0,False,False
60,1,0.109,0.1816,0.0,False,False
61,0,0.0173,0.011,0.0267,False,False
61,1,0.111,0.1806,0.0067,False,False
62,0,0.0169,0.0103,0.0267,False,False
62,1,0.1073,0.1648,0.0211,False,False
63,0,0.0167,0.01,0.0267,False,False
63,1,0.114,0.1702,0.0298,False,False
64,0,0.0167,0.0101,0.0267,False,False
64,1,0.1052,0.1709,0.0067,False,False
65,0,0.0061,0.0102,0.0,False,False
65,1,0.1055,0.1758,0.0,False,False
66,0,0.0169,0.0104,0.0267,False,False
66,1,0.1076,0.166,0.02,False,False
67,0,0.0116,0.0193,0.0,False,False
67,1,0.1261,0.1961,0.0211,False,False
68,0,0.0217,0.0184,0.0267,False,False
68,1,0.1117,0.1817,0.0067,False,False
69,0,0.0061,0.0101,0.0,False,False
69,1,0.1079,0.1754,0.0067,False,False
70,0,0.017,0.0106,0.0267,False,False
70,1,0.1075,0.1791,0.0,False,False
71,0,0.0173,0.011,0.0267,False,False
71,1,0.1099,0.1832,0.0,False,False
72,0,0.0173,0.011,0.0267,False,False
72,1,0.1476,0.1882,0.0867,False,False
73,0,0.0067,0.0111,0.0,False,False
73,1,0.147,0.1872,0.0867,False,False
74,0,0.0066,0.011,0.0,False,False
74,1,0.1126,0.1876,0.0,False,False
75,0,0.0067,0.0111,0.0,False,False
75,1,0.1147,0.1868,0.0067,False,False
76,0,0.0066,0.011,0.0,False,False
76,1,0.1162,0.1892,0.0067,False,False
77,0,0.0067,0.0112,0.0,False,False
77,1,0.1172,0.191,0.0067,False,False
78,0,0.0095,0.0115,0.0067,False,False
78,1,0.1165,0.1897,0.0067,False,False
79,0,0.0095,0.0114,0.0067,False,False
79,1,0.1152,0.192,0.0,False,False
80,0,0.007,0.0116,0.0,False,False
80,1,0.1209,0.1971,0.0067,False,False
81,0,0.0071,0.0118,0.0,False,False
81,1,0.1556,0.2015,0.0867,False,False
82,0,0.0182,0.0121,0.0275,False,False
82,1,0.156,0.2022,0.0867,False,False
83,0,0.0181,0.0119,0.0275,False,False
83,1,0.1223,0.2039,0.0,False,False
84,0,0.0184,0.0124,0.0275,False,False
84,1,0.1235,0.2058,0.0,False,False
85,0,0.0184,0.0123,0.0275,False,False
85,1,0.1645,0.208,0.0991,False,False
86,0,0.0073,0.0122,0.0,False,False
86,1,0.1306,0.2088,0.0133,False,False
87,0,0.0073,0.0121,0.0,False,False
87,1,0.1424,0.2092,0.0422,False,False
88,0,0.0073,0.0122,0.0,False,False
88,1,0.178,0.2108,0.1288,False,False
89,0,0.0186,0.0127,0.0275,False,False
89,1,0.1282,0.2136,0.0,False,False
90,0,0.0186,0.0126,0.0275,False,False
90,1,0.1285,0.2142,0.0,False,False
91,0,0.0076,0.0127,0.0,False,False
91,1,0.1323,0.2161,0.0067,False,False
92,0,0.0192,0.0143,0.0267,False,False
92,1,0.1416,0.2316,0.0067,False,False
93,0,0.0202,0.0159,0.0267,False,False
93,1,0.1373,0.2289,0.0,False,False
94,0,0.0219,0.0188,0.0267,False,False
94,1,0.1347,0.2112,0.02,False,False
95,0,0.0143,0.0239,0.0,False,False
95,1,0.1355,0.217,0.0133,False,False
96,0,0.0254,0.0291,0.02,False,False
96,1,0.1379,0.2298,0.0,False,False
97,0,0.0213,0.0356,0.0,False,False
97,1,0.149,0.2438,0.0067,False,False
98,0,0.0298,0.0452,0.0067,False,False
99,0,0.0362,0.0515,0.0133,False,False
99,1,0.2173,0.2341,0.1919,False,False
100,0,0.0437,0.0595,0.02,False,False
100,1,0.1418,0.2319,0.0067,False,False
