frame,object_id,suspicion_score,appearance_drift,tracking_drift,requested_reclassification,actual_reclassification
41,0,0.611,1.0,0.0275,True,True
42,0,0.0,0.0,0.0,False,False
43,0,0.0,0.0,0.0,False,False
44,0,0.0,0.0,0.0,False,False
45,0,0.0,0.0,0.0,False,False
46,0,0.0,0.0,0.0,False,False
47,0,0.0027,0.0,0.0067,False,False
48,0,0.0027,0.0,0.0067,False,False
49,0,0.0053,0.0,0.0133,False,False
50,0,0.0053,0.0,0.0133,False,False
51,0,0.008,0.0,0.02,False,False
52,0,0.0054,0.0002,0.0133,False,False
53,0,0.0001,0.0002,0.0,False,False
54,0,0.0001,0.0002,0.0,False,False
55,0,0.0055,0.0003,0.0133,False,False
56,0,0.0055,0.0003,0.0133,False,False
57,0,0.0056,0.0004,0.0133,False,False
58,0,0.003,0.0005,0.0067,False,False
59,0,0.003,0.0005,0.0067,False,False
60,0,0.0003,0.0005,0.0,False,False
61,0,0.0002,0.0004,0.0,False,False
62,0,0.0029,0.0004,0.0067,False,False
63,0,0.0002,0.0004,0.0,False,False
64,0,0.0002,0.0004,0.0,False,False
65,0,0.0029,0.0003,0.0067,False,False
66,0,0.0002,0.0003,0.0,False,False
67,0,0.0002,0.0003,0.0,False,False
68,0,0.0002,0.0004,0.0,False,False
69,0,0.0002,0.0003,0.0,False,False
70,0,0.004,0.0003,0.0094,False,False
71,0,0.0029,0.0004,0.0067,False,False
72,0,0.0002,0.0004,0.0,False,False
73,0,0.0973,0.0004,0.2427,False,False
74,0,0.0973,0.0003,0.2427,False,False
75,0,0.0003,0.0005,0.0,False,False
76,0,0.0003,0.0005,0.0,False,False
77,0,0.0029,0.0004,0.0067,False,False
78,0,0.0974,0.0005,0.2427,False,False
79,0,0.0999,0.0005,0.2489,False,False
80,0,0.0029,0.0004,0.0067,False,False
81,0,0.0062,0.0004,0.0149,False,False
82,0,0.0003,0.0004,0.0,False,False
83,0,0.0029,0.0003,0.0067,False,False
84,0,0.0028,0.0003,0.0067,False,False
85,0,0.0002,0.0003,0.0,False,False
86,0,0.0002,0.0003,0.0,False,False
87,0,0.0029,0.0003,0.0067,False,False
88,0,0.0029,0.0004,0.0067,False,False
89,0,0.0056,0.0004,0.0133,False,False
90,0,0.0003,0.0004,0.0,False,False
91,0,0.0002,0.0004,0.0,False,False
