frame,object_id,suspicion_score,appearance_drift,tracking_drift,requested_reclassification,actual_reclassification
1,1,0.6,1.0,0.0,True,True
1,2,0.6,1.0,0.0,True,True
2,1,0.0173,0.0243,0.0067,False,False
2,2,0.0197,0.0285,0.0067,False,False
3,1,0.0316,0.0393,0.02,False,False
3,2,0.0354,0.0528,0.0094,False,False
4,1,0.0957,0.1506,0.0133,False,False
4,2,0.0657,0.0995,0.0149,False,False
5,1,0.1546,0.2435,0.0211,False,False
5,2,0.0721,0.1068,0.02,False,False
6,1,0.3368,0.548,0.02,False,False
6,2,0.091,0.1417,0.0149,False,False
7,1,0.3748,0.6106,0.0211,False,False
7,2,0.093,0.1417,0.02,False,False
8,1,0.3875,0.6318,0.0211,False,False
8,2,0.1136,0.1794,0.0149,False,False
9,1,0.4234,0.6958,0.0149,False,False
9,2,0.1201,0.1868,0.02,False,False
10,1,0.4324,0.7073,0.02,False,False
10,2,0.1169,0.1815,0.02,False,False
11,1,0.4478,0.7323,0.0211,True,True
11,2,0.1129,0.1792,0.0133,False,False
12,1,0.0129,0.0037,0.0267,False,False
12,2,0.1154,0.179,0.02,False,False
13,2,0.0992,0.147,0.0275,False,False
14,1,0.0222,0.01,0.0406,False,False
14,2,0.164,0.1482,0.1877,False,False
15,1,0.0101,0.0123,0.0067,False,False
15,2,0.1746,0.1487,0.2134,False,False
16,1,0.0079,0.0132,0.0,False,False
16,2,0.0914,0.1524,0.0,False,False
17,1,0.0082,0.0136,0.0,False,False
17,2,0.092,0.1488,0.0067,False,False
18,1,0.0134,0.0134,0.0133,False,False
18,2,0.0916,0.1482,0.0067,False,False
19,1,0.0083,0.0138,0.0,False,False
19,2,0.0884,0.1473,0.0,False,False
20,1,0.0083,0.0139,0.0,False,False
20,2,0.0913,0.1478,0.0067,False,False
21,1,0.0109,0.0137,0.0067,False,False
21,2,0.0894,0.1491,0.0,False,False
22,1,0.0109,0.0138,0.0067,False,False
22,2,0.094,0.1566,0.0,False,False
23,1,0.0083,0.0139,0.0,False,False
23,2,0.0948,0.158,0.0,False,False
24,1,0.0083,0.0138,0.0,False,False
24,2,0.0999,0.1665,0.0,False,False
25,1,0.011,0.0138,0.0067,False,False
25,2,0.0999,0.1665,0.0,False,False
26,1,0.0108,0.0136,0.0067,False,False
26,2,0.1004,0.1674,0.0,False,False
27,1,0.008,0.0133,0.0,False,False
27,2,0.0991,0.1651,0.0,False,False
28,1,0.0109,0.0137,0.0067,False,False
28,2,0.0994,0.1657,0.0,False,False
29,1,0.0107,0.0134,0.0067,False,False
29,2,0.0995,0.1659,0.0,False,False
30,1,0.011,0.0138,0.0067,False,False
30,2,0.0997,0.1661,0.0,False,False
31,1,0.0108,0.0136,0.0067,False,False
31,2,0.0999,0.1665,0.0,False,False
32,1,0.0122,0.0141,0.0094,False,False
32,2,0.1023,0.1661,0.0067,False,False
33,1,0.0144,0.0141,0.0149,False,False
33,2,0.1027,0.1667,0.0067,False,False
34,1,0.0139,0.0142,0.0133,False,False
34,2,0.0997,0.1617,0.0067,False,False
35,1,0.0167,0.0137,0.0211,False,False
35,2,0.1023,0.1606,0.0149,False,False
36,1,0.0108,0.0136,0.0067,False,False
36,2,0.0977,0.1583,0.0067,False,False
37,1,0.0081,0.0135,0.0,False,False
37,2,0.0934,0.1557,0.0,False,False
38,1,0.0079,0.0131,0.0,False,False
38,2,0.0923,0.1538,0.0,False,False
39,1,0.0081,0.0135,0.0,False,False
39,2,0.0918,0.153,0.0,False,False
40,1,0.0079,0.0132,0.0,False,False
40,2,0.0919,0.1532,0.0,False,False
41,1,0.0081,0.0136,0.0,False,False
41,2,0.0944,0.1574,0.0,False,False
42,1,0.0136,0.0139,0.0133,False,False
42,2,0.1624,0.1498,0.1814,False,False
43,1,0.012,0.0137,0.0094,False,False
43,2,0.089,0.144,0.0067,False,False
44,1,0.0109,0.0137,0.0067,False,False
44,2,0.166,0.1484,0.1924,False,False
45,1,0.0081,0.0135,0.0,False,False
45,2,0.0921,0.1535,0.0,False,False
46,1,0.0081,0.0135,0.0,False,False
46,2,0.0919,0.1532,0.0,False,False
47,1,0.008,0.0134,0.0,False,False
47,2,0.0915,0.1524,0.0,False,False
48,1,0.0083,0.0138,0.0,False,False
48,2,0.0918,0.153,0.0,False,False
49,1,0.012,0.0137,0.0094,False,False
49,2,0.0957,0.155,0.0067,False,False
50,1,0.0107,0.0135,0.0067,False,False
50,2,0.098,0.159,0.0067,False,False
51,1,0.014,0.0134,0.0149,False,False
51,2,0.096,0.1537,0.0094,False,False
52,1,0.0108,0.0135,0.0067,False,False
52,2,0.0922,0.1537,0.0,False,False
53,1,0.008,0.0133,0.0,False,False
53,2,0.0915,0.1525,0.0,False,False
54,1,0.0081,0.0135,0.0,False,False
54,2,0.092,0.1533,0.0,False,False
55,1,0.0081,0.0135,0.0,False,False
55,2,0.0911,0.1519,0.0,False,False
56,1,0.0083,0.0139,0.0,False,False
56,2,0.0923,0.1538,0.0,False,False
57,1,0.1313,0.0134,0.3083,False,False
57,2,0.0928,0.1547,0.0,False,False
58,1,0.1266,0.0138,0.2959,False,False
58,2,0.0948,0.1535,0.0067,False,False
59,1,0.0109,0.0137,0.0067,False,False
59,2,0.0942,0.1507,0.0094,False,False
60,1,0.0137,0.0139,0.0133,False,False
60,2,0.0942,0.1525,0.0067,False,False
61,1,0.0121,0.0139,0.0094,False,False
61,2,0.0933,0.151,0.0067,False,False
62,2,0.0771,0.1285,0.0,False,False
63,2,0.0769,0.1281,0.0,False,False
64,2,0.0817,0.1299,0.0094,False,False
65,2,0.1387,0.1018,0.1941,False,False
66,2,0.1411,0.1057,0.1941,False,False
67,2,0.0657,0.1095,0.0,False,False
68,2,0.0663,0.106,0.0067,False,False
69,2,0.0658,0.1052,0.0067,False,False
70,2,0.1321,0.0962,0.186,False,False
71,2,0.1359,0.0983,0.1924,False,False
72,2,0.0599,0.0954,0.0067,False,False
73,2,0.0623,0.1039,0.0,False,False
74,2,0.0589,0.0937,0.0067,False,False
75,2,0.0549,0.0915,0.0,False,False
76,2,0.0554,0.0923,0.0,False,False
