frame,object_id,suspicion_score,triggered_reclassification
1,0,0.6,True
2,0,0.0088,False
3,0,0.0061,False
4,0,0.0065,False
5,0,0.0068,False
6,0,0.0064,False
7,0,0.0312,False
8,0,0.0313,False
9,0,0.0093,False
10,0,0.0095,False
11,0,0.0261,False
12,0,0.0263,False
13,0,0.0072,False
14,0,0.0083,False
15,0,0.0548,False
16,0,0.047,False
17,0,0.0619,False
18,0,0.1111,False
19,0,0.2255,False
20,0,0.4977,False
21,0,0.5435,False
22,0,0.5888,False
23,0,0.5606,False
24,0,0.5002,False
25,0,0.476,False
26,0,0.4987,False
27,0,0.4928,False
28,0,0.439,False
29,0,0.3711,False
30,0,0.3371,True
31,0,0.3091,False
32,0,0.3077,False
33,0,0.3051,False
34,0,0.3237,False
35,0,0.3909,False
36,0,0.3857,False
37,0,0.4182,False
38,0,0.4293,False
39,0,0.4384,False
40,0,0.4401,False
41,0,0.4395,False
42,0,0.438,False
43,0,0.4375,False
44,0,0.4334,False
45,0,0.4286,False
46,0,0.4263,False
47,0,0.4225,False
48,1,0.6,True
48,0,0.4147,False
49,1,0.003,False
49,0,0.3949,False
50,1,0.0151,False
50,0,0.3912,False
51,1,0.0082,False
51,0,0.395,False
52,0,0.4008,False
53,0,0.3991,False
54,0,0.4034,False
55,0,0.4094,False
56,0,0.4166,False
57,0,0.4248,False
58,0,0.4318,False
59,0,0.4337,False
60,0,0.4363,True
61,0,0.4364,False
62,0,0.4372,False
63,0,0.4365,False
64,0,0.4373,False
65,0,0.4366,False
66,0,0.4358,False
67,0,0.437,False
68,0,0.4391,False
69,0,0.4416,False
70,0,0.4443,False
71,0,0.4442,False
72,0,0.4459,False
73,0,0.4483,False
74,0,0.4483,False
75,0,0.4487,False
76,0,0.4504,False
77,0,0.4512,False
78,0,0.4516,False
79,0,0.4505,False
80,0,0.4372,False
81,0,0.4377,False
82,0,0.4379,False
83,0,0.4383,False
84,0,0.4395,False
85,0,0.4185,False
86,0,0.4185,False
87,0,0.4303,False
88,0,0.4284,False
89,0,0.4273,False
90,0,0.427,True
91,0,0.0,False
92,0,0.0,False
93,0,0.0,False
94,0,0.0027,False
95,0,0.0027,False
96,2,0.6,True
96,0,0.0,False
97,0,0.0,False
98,2,0.0028,False
98,0,0.0027,False
99,2,0.0029,False
99,0,0.0,False
100,2,0.0063,False
100,0,0.0027,False
101,0,0.0,False
102,0,0.0,False
103,0,0.0,False
104,0,0.0001,False
105,0,0.0001,False
106,0,0.0001,False
107,2,0.1113,False
107,0,0.0003,False
108,2,0.0333,False
108,0,0.0003,False
109,2,0.0178,False
109,0,0.003,False
110,2,0.0247,False
110,0,0.0003,False
111,2,0.0128,False
111,0,0.0003,False
112,2,0.1279,False
112,0,0.0003,False
113,2,0.0121,False
113,0,0.0003,False
114,2,0.0124,False
114,0,0.0003,False
115,2,0.0151,False
115,0,0.0003,False
116,2,0.0153,False
116,0,0.0003,False
117,2,0.0124,False
117,0,0.0003,False
118,2,0.0149,False
118,0,0.0003,False
119,2,0.0118,False
119,0,0.0003,False
120,2,0.0147,True
120,0,0.0003,True
121,2,0.0027,False
121,0,0.0,False
122,2,0.0001,False
122,0,0.0027,False
123,2,0.0001,False
123,0,0.0027,False
124,2,0.0002,False
124,0,0.0,False
125,2,0.0003,False
125,0,0.0027,False
126,2,0.0004,False
126,0,0.0001,False
127,2,0.0005,False
127,0,0.0027,False
128,2,0.0007,False
128,0,0.0028,False
129,2,0.0007,False
129,0,0.0001,False
130,2,0.0008,False
130,0,0.0001,False
131,2,0.0008,False
131,0,0.0028,False
132,2,0.0008,False
132,0,0.0001,False
133,2,0.0008,False
133,0,0.0028,False
134,2,0.0008,False
134,0,0.0028,False
135,2,0.0008,False
135,0,0.0001,False
136,2,0.0009,False
136,0,0.0001,False
137,2,0.0009,False
137,0,0.0001,False
138,2,0.0009,False
138,0,0.0001,False
139,2,0.0009,False
139,0,0.0001,False
140,2,0.0009,False
140,0,0.0001,False
141,2,0.0009,False
141,0,0.0001,False
142,2,0.001,False
142,0,0.0001,False
143,2,0.001,False
143,0,0.0002,False
144,2,0.0011,False
144,0,0.0002,False
145,2,0.0011,False
145,0,0.0002,False
146,2,0.0011,False
146,0,0.0003,False
147,2,0.0011,False
147,0,0.003,False
148,2,0.0012,False
148,0,0.0003,False
149,2,0.0012,False
149,0,0.0003,False
150,2,0.0014,True
150,0,0.003,True
151,2,0.0,False
151,0,0.0027,False
152,2,0.0,False
152,0,0.0,False
153,2,0.0,False
153,0,0.0027,False
154,2,0.0028,False
154,0,0.0,False
155,2,0.0028,False
155,0,0.0001,False
156,2,0.0004,False
156,0,0.0002,False
157,2,0.0008,False
157,0,0.0004,False
158,2,0.0044,False
158,0,0.0006,False
159,2,0.0054,False
159,0,0.0008,False
160,2,0.0032,False
160,0,0.0008,False
161,2,0.0037,False
161,0,0.0034,False
162,2,0.0068,False
162,0,0.0007,False
163,2,0.004,False
163,0,0.0007,False
164,2,0.004,False
164,0,0.0006,False
165,2,0.0066,False
165,0,0.0006,False
166,2,0.0068,False
166,0,0.0006,False
167,2,0.004,False
167,0,0.0006,False
168,2,0.0067,False
168,0,0.0006,False
169,2,0.0047,False
169,0,0.0009,False
170,2,0.0046,False
170,0,0.0009,False
171,2,0.0019,False
171,0,0.001,False
172,2,0.0045,False
172,0,0.0009,False
173,2,0.0045,False
173,0,0.001,False
174,2,0.0017,False
174,0,0.001,False
175,2,0.0014,False
175,0,0.0038,False
176,2,0.0042,False
176,0,0.0013,False
177,2,0.0041,False
177,0,0.0039,False
178,2,0.0014,False
178,0,0.0014,False
179,2,0.001,False
179,0,0.0041,False
180,2,0.0009,True
180,0,0.0042,True
181,2,0.0,False
181,0,0.0,False
182,2,0.0,False
182,0,0.0,False
183,2,0.0001,False
183,0,0.0,False
184,2,0.0001,False
184,0,0.0,False
185,2,0.0001,False
185,0,0.0,False
186,2,0.0001,False
186,0,0.0,False
187,2,0.0,False
187,0,0.0,False
188,2,0.0001,False
188,0,0.0,False
189,2,0.0002,False
189,0,0.0,False
190,2,0.0006,False
190,0,0.0001,False
191,2,0.0035,False
191,0,0.0002,False
192,2,0.0039,False
192,0,0.0005,False
193,2,0.005,False
193,0,0.0012,False
194,2,0.0064,False
194,0,0.0029,False
195,2,0.0077,False
195,0,0.0046,False
196,2,0.0085,False
196,0,0.0063,False
197,2,0.0061,False
197,0,0.0088,False
198,2,0.0092,False
198,0,0.0096,False
199,2,0.0065,False
199,0,0.0096,False
200,2,0.0065,False
200,0,0.0097,False
201,2,0.0089,False
201,0,0.0095,False
202,2,0.0075,False
202,0,0.0158,False
203,2,0.0069,False
203,0,0.0147,False
204,2,0.0067,False
204,0,0.0151,False
205,2,0.0068,False
205,0,0.0149,False
206,2,0.0061,False
206,0,0.0143,False
207,2,0.0059,False
207,0,0.0139,False
208,2,0.0086,False
208,0,0.0137,False
209,2,0.0057,False
209,0,0.0134,False
210,2,0.0082,True
210,0,0.0136,True
211,2,0.0,False
211,0,0.0,False
212,2,0.0027,False
212,0,0.0,False
213,2,0.0027,False
213,0,0.0,False
214,2,0.0,False
214,0,0.0,False
215,2,0.0001,False
215,0,0.0,False
216,2,0.0001,False
216,0,0.0,False
217,2,0.0003,False
217,0,0.0001,False
218,2,0.0006,False
218,0,0.0002,False
219,2,0.0011,False
219,0,0.0003,False
220,2,0.0017,False
220,0,0.0003,False
221,2,0.0019,False
221,0,0.0004,False
222,2,0.002,False
222,0,0.0031,False
223,2,0.0023,False
223,0,0.0004,False
224,2,0.0026,False
224,0,0.0032,False
225,2,0.0028,False
227,2,0.0585,False
232,2,0.0632,False
233,2,0.0123,False
234,2,0.0103,False
235,2,0.009,False
236,2,0.0087,False
237,2,0.0086,False
238,2,0.0102,False
239,2,0.0106,False
240,2,0.0085,True
241,2,0.0001,False
242,2,0.0003,False
243,2,0.0034,False
244,2,0.0039,False
245,2,0.0046,False
246,2,0.0059,False
247,2,0.0102,False
248,2,0.0103,False
249,2,0.0107,False
252,2,0.0143,False
253,2,0.0143,False
254,2,0.0139,False
254,3,0.6,True
255,2,0.0147,False
255,3,0.0367,False
256,2,0.0148,False
256,3,0.0301,False
257,2,0.0143,False
257,3,0.0359,False
258,2,0.0117,False
258,3,0.0342,False
259,2,0.0117,False
259,3,0.0344,False
260,2,0.0113,False
260,3,0.0349,False
261,2,0.01,False
261,3,0.0349,False
262,2,0.0075,False
262,3,0.0479,False
263,2,0.0048,False
263,3,0.0484,False
264,2,0.0049,False
264,3,0.0511,False
265,2,0.0051,False
265,3,0.0553,False
266,2,0.0049,False
266,3,0.0585,False
267,2,0.0039,False
267,3,0.0843,False
268,2,0.0038,False
268,3,0.0852,False
269,2,0.0036,False
269,3,0.0864,False
270,2,0.0036,True
270,3,0.0863,True
271,2,0.0,False
271,3,0.0001,False
272,2,0.0,False
272,3,0.0002,False
273,2,0.0,False
273,3,0.0003,False
274,2,0.0,False
274,3,0.0008,False
275,2,0.0,False
275,3,0.001,False
276,2,0.0027,False
276,3,0.0012,False
277,2,0.0027,False
277,3,0.0012,False
278,2,0.0027,False
278,3,0.0013,False
279,2,0.1105,False
279,3,0.0012,False
280,2,0.1131,False
280,3,0.0012,False
281,2,0.0028,False
281,3,0.0012,False
282,2,0.0028,False
282,3,0.0012,False
283,2,0.0029,False
283,3,0.0039,False
284,2,0.0029,False
284,3,0.0012,False
285,2,0.0002,False
285,3,0.0011,False
286,2,0.0002,False
286,3,0.0011,False
287,2,0.0002,False
287,3,0.0012,False
288,2,0.0002,False
288,3,0.0012,False
289,2,0.0004,False
289,3,0.0012,False
290,2,0.0031,False
290,3,0.0038,False
291,2,0.0032,False
291,3,0.0038,False
292,2,0.0006,False
292,3,0.0011,False
293,2,0.0034,False
293,3,0.0011,False
294,2,0.0034,False
294,3,0.0011,False
295,2,0.0008,False
295,3,0.0011,False
296,2,0.001,False
296,3,0.0012,False
297,2,0.0012,False
297,3,0.0011,False
298,2,0.0012,False
298,3,0.001,False
299,2,0.004,False
299,3,0.0011,False
300,2,0.004,True
300,3,0.0009,True
301,2,0.0,False
301,3,0.0,False
302,2,0.0,False
302,3,0.0,False
303,2,0.0,False
303,3,0.0,False
304,2,0.0,False
304,3,0.0,False
305,2,0.0,False
305,3,0.0,False
306,2,0.0,False
306,3,0.0,False
307,2,0.0,False
307,3,0.0001,False
308,2,0.0,False
308,3,0.0,False
309,2,0.0,False
309,3,0.0,False
310,2,0.0,False
310,3,0.0047,False
311,2,0.0001,False
312,2,0.0006,False
312,3,0.1993,False
313,2,0.0086,False
313,3,0.2356,False
328,2,0.0023,False
328,3,0.1426,False
329,2,0.0033,False
329,3,0.1368,False
330,2,0.0062,True
330,3,0.0577,True
331,2,0.0027,False
331,3,0.0064,False
332,2,0.0001,False
332,3,0.008,False
333,2,0.0002,False
333,3,0.0112,False
334,2,0.0003,False
334,3,0.014,False
335,2,0.0004,False
335,3,0.0173,False
336,2,0.0004,False
336,3,0.0207,False
337,2,0.003,False
337,3,0.0231,False
338,2,0.0004,False
338,3,0.0236,False
339,2,0.0031,False
339,3,0.0236,False
340,2,0.0019,False
340,3,0.0298,False
341,2,0.0017,False
341,3,0.0287,False
342,2,0.0044,False
342,3,0.0288,False
343,2,0.0044,False
343,3,0.0289,False
344,2,0.0044,False
344,3,0.0291,False
345,2,0.0017,False
345,3,0.0292,False
346,2,0.0056,False
346,3,0.0329,False
347,2,0.0029,False
347,3,0.0327,False
348,2,0.0013,False
348,3,0.0243,False
349,2,0.0016,False
349,3,0.0253,False
350,2,0.0018,False
350,3,0.0264,False
351,2,0.0018,False
351,3,0.027,False
352,2,0.0019,False
352,3,0.0277,False
353,2,0.002,False
353,3,0.027,False
354,2,0.0021,False
354,3,0.0274,False
355,2,0.0022,False
355,3,0.0273,False
356,2,0.0022,False
356,3,0.0278,False
357,2,0.0023,False
357,3,0.028,False
358,2,0.0025,False
358,3,0.0292,False
359,2,0.0027,False
359,3,0.0292,False
360,2,0.0027,True
360,3,0.029,True
361,2,0.0027,False
361,3,0.0,False
362,2,0.0027,False
362,3,0.0,False
363,2,0.0,False
363,3,0.0,False
364,2,0.0027,False
364,3,0.0001,False
365,2,0.0027,False
365,3,0.0001,False
366,2,0.0,False
366,3,0.0001,False
367,2,0.0,False
367,3,0.0001,False
368,2,0.0,False
368,3,0.0001,False
369,2,0.0,False
369,3,0.0001,False
370,2,0.0,False
370,3,0.0001,False
371,2,0.0,False
371,3,0.0001,False
372,2,0.0,False
372,3,0.0001,False
373,2,0.0,False
373,3,0.0001,False
374,2,0.0,False
374,3,0.0001,False
375,2,0.0,False
375,3,0.0001,False
376,2,0.0,False
376,3,0.0002,False
377,2,0.0027,False
377,3,0.0001,False
378,2,0.0001,False
378,3,0.0001,False
379,2,0.0002,False
379,3,0.0001,False
380,2,0.0002,False
380,3,0.0001,False
381,2,0.0004,False
381,3,0.0001,False
382,2,0.0033,False
382,3,0.0002,False
383,2,0.0037,False
383,3,0.0005,False
384,2,0.0012,False
384,3,0.0007,False
385,2,0.0012,False
385,3,0.0009,False
386,2,0.0013,False
386,3,0.0014,False
387,2,0.0015,False
387,3,0.0303,False
388,2,0.0016,False
389,2,0.0043,False
389,3,0.1678,False
390,2,0.0018,True
390,3,0.219,True
391,2,0.0,False
391,3,0.0313,False
392,2,0.0,False
392,3,0.0722,False
393,2,0.0,False
393,3,0.0993,False
394,2,0.1156,False
394,3,0.0939,False
395,2,0.0054,False
395,3,0.096,False
396,2,0.1105,False
397,2,0.0,False
397,3,0.0489,False
398,2,0.0031,False
398,3,0.0157,False
399,2,0.0032,False
399,3,0.0225,False
400,2,0.1537,False
400,3,0.0966,False
401,2,0.0535,False
401,3,0.088,False
402,2,0.0127,False
402,3,0.1534,False
403,2,0.1339,False
403,3,0.1659,False
404,2,0.006,False
404,3,0.1614,False
405,2,0.0008,False
405,3,0.1628,False
406,2,0.0011,False
406,3,0.1616,False
407,2,0.0013,False
407,3,0.1607,False
408,2,0.0015,False
408,3,0.1606,False
409,2,0.0017,False
409,3,0.1607,False
410,2,0.0022,False
410,3,0.1623,False
411,2,0.0027,False
411,3,0.1616,False
412,2,0.0031,False
412,3,0.1608,False
413,2,0.0047,False
413,3,0.1583,False
414,2,0.0063,False
414,3,0.1567,False
415,2,0.0108,False
415,3,0.1533,False
416,2,0.012,False
416,3,0.1491,False
417,2,0.0097,False
417,3,0.1465,False
418,2,0.0096,False
418,3,0.1466,False
419,2,0.0094,False
419,3,0.1466,False
420,2,0.0123,True
420,3,0.1449,True
421,2,0.0135,False
421,3,0.0,False
422,2,0.0826,False
422,3,0.0,False
423,2,0.2576,False
423,3,0.0,False
424,3,0.1071,False
425,2,0.1912,False
425,3,0.0453,False
426,3,0.08,False
427,3,0.0477,False
428,2,0.0904,False
428,3,0.0572,False
429,3,0.1272,False
430,3,0.0569,False
431,2,0.176,False
431,3,0.0179,False
432,2,0.0081,False
432,3,0.009,False
433,2,0.007,False
433,3,0.001,False
434,2,0.0069,False
434,3,0.0014,False
435,2,0.0047,False
435,3,0.0034,False
436,2,0.0049,False
436,3,0.0054,False
437,2,0.0049,False
437,3,0.009,False
438,2,0.005,False
438,3,0.0099,False
439,2,0.0051,False
439,3,0.0109,False
440,2,0.0051,False
440,3,0.0113,False
441,2,0.005,False
441,3,0.0128,False
442,2,0.0052,False
442,3,0.0121,False
443,2,0.0052,False
443,3,0.0116,False
444,2,0.0079,False
444,3,0.0126,False
445,2,0.0079,False
445,3,0.0126,False
446,2,0.0053,False
446,3,0.0123,False
447,2,0.0054,False
447,3,0.0118,False
448,2,0.0056,False
448,3,0.0131,False
449,2,0.0057,False
449,3,0.0133,False
450,2,0.0063,True
450,3,0.0126,True
451,2,0.0,False
451,3,0.0001,False
452,2,0.0038,False
452,3,0.0001,False
453,2,0.0038,False
453,3,0.0001,False
454,2,0.0027,False
454,3,0.0002,False
455,2,0.0027,False
455,3,0.0002,False
456,2,0.0027,False
456,3,0.0003,False
457,2,0.0028,False
457,3,0.0003,False
458,2,0.0001,False
458,3,0.0007,False
459,2,0.0001,False
459,3,0.0008,False
460,2,0.0028,False
460,3,0.0298,False
461,2,0.0001,False
461,3,0.2332,False
462,2,0.1332,False
462,3,0.2085,False
463,2,0.0081,False
467,2,0.0056,False
467,3,0.2024,False
468,2,0.0042,False
468,3,0.1122,False
469,2,0.004,False
469,3,0.0973,False
