frame,object_id,suspicion_score,triggered_reclassification
1,0,0.6,True
2,0,0.5186,False
3,0,0.5443,False
4,0,0.5501,False
5,0,0.5674,False
6,0,0.5668,False
7,0,0.572,False
8,0,0.5683,False
9,0,0.5669,False
10,0,0.5678,False
11,0,0.5671,False
12,0,0.5676,False
13,0,0.5696,False
14,0,0.5763,False
15,0,0.5804,False
16,0,0.5761,False
17,0,0.5796,False
18,0,0.5768,False
19,0,0.5809,False
20,0,0.5775,False
21,0,0.5771,False
22,0,0.5769,False
23,0,0.5777,False
24,0,0.5783,False
25,0,0.5761,False
26,0,0.5767,False
27,0,0.5781,False
28,0,0.5775,False
29,0,0.5755,False
30,0,0.5779,True
31,0,0.5791,False
32,0,0.5781,False
33,0,0.5764,False
34,0,0.5773,False
35,0,0.5797,False
36,0,0.5817,False
37,0,0.5787,False
38,0,0.5776,False
39,0,0.5808,False
40,0,0.5777,False
41,0,0.5805,False
42,0,0.5792,False
43,0,0.5818,False
44,0,0.5791,False
45,0,0.5792,False
46,0,0.5793,False
47,0,0.5788,False
48,0,0.5794,False
49,0,0.5796,False
50,0,0.5797,False
51,0,0.5794,False
52,0,0.5799,False
53,0,0.5796,False
54,0,0.5797,False
55,0,0.5821,False
56,0,0.5809,False
57,0,0.5824,False
58,0,0.5836,False
59,0,0.5826,False
60,0,0.5855,True
61,0,0.5855,False
62,0,0.5845,False
63,0,0.584,False
64,0,0.5802,False
65,0,0.5833,False
66,0,0.5818,False
67,0,0.5819,False
68,0,0.5804,False
69,0,0.5807,False
70,0,0.5819,False
71,0,0.5817,False
72,0,0.5809,False
73,0,0.5804,False
74,0,0.584,False
75,0,0.5845,False
76,0,0.5811,False
77,0,0.5859,False
78,0,0.5823,False
79,0,0.5844,False
80,0,0.585,False
81,0,0.5826,False
82,0,0.5847,False
83,0,0.5843,False
84,0,0.5819,False
85,0,0.582,False
86,0,0.5848,False
87,0,0.5849,False
88,0,0.5817,False
89,0,0.582,False
90,0,0.5846,True
91,0,0.003,False
92,0,0.0007,False
93,0,0.0002,False
94,0,0.0002,False
95,0,0.0006,False
96,0,0.0009,False
97,0,0.0003,False
98,0,0.0002,False
99,0,0.0006,False
100,0,0.001,False
101,0,0.0006,False
102,0,0.0008,False
103,0,0.0012,False
104,0,0.0018,False
105,0,0.0013,False
106,0,0.0013,False
107,0,0.0025,False
108,0,0.001,False
109,0,0.0043,False
110,0,0.0041,False
111,0,0.0058,False
112,0,0.0013,False
113,0,0.0042,False
114,0,0.0016,False
115,0,0.0017,False
116,0,0.0016,False
117,0,0.0017,False
118,0,0.0062,False
119,0,0.0047,False
120,0,0.002,True
121,0,0.0027,False
122,0,0.0004,False
123,0,0.0029,False
124,0,0.0039,False
125,0,0.0005,False
126,0,0.0033,False
127,0,0.0028,False
128,0,0.0008,False
129,0,0.0031,False
130,0,0.0048,False
131,0,0.0004,False
132,0,0.0029,False
133,0,0.0043,False
134,0,0.0009,False
135,0,0.0031,False
136,0,0.0006,False
137,0,0.0044,False
138,0,0.0043,False
139,0,0.0038,False
140,0,0.004,False
141,0,0.005,False
142,0,0.0043,False
143,0,0.0045,False
144,0,0.0023,False
145,0,0.002,False
146,0,0.0046,False
147,0,0.004,False
148,0,0.0021,False
149,0,0.0017,False
150,0,0.0011,True
151,0,0.0001,False
152,0,0.0033,False
153,0,0.0004,False
154,0,0.0031,False
155,0,0.0002,False
156,0,0.003,False
157,0,0.0005,False
158,0,0.0031,False
159,0,0.0001,False
160,0,0.0029,False
