frame,object_id,ground_truth,always_label,always_correct,always_invoked,fixed_label,fixed_correct,fixed_invoked,drift_label,drift_correct,drift_invoked,drift_agrees_with_always
1,0,PEN,PEN,True,True,PEN,True,True,PEN,True,True,True
2,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
3,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
4,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
5,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
6,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
7,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
8,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
9,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
10,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
11,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
12,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
13,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
14,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
15,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
16,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
17,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
18,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
19,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
20,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
21,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
22,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
23,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
24,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
25,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
26,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
27,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
28,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
29,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
30,0,PEN,PEN,True,True,PEN,True,True,PEN,True,False,True
31,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
32,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
33,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
34,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
35,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
36,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
37,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
38,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
39,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
40,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
41,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
42,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
43,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
44,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
45,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
46,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
47,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
48,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
49,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
50,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
51,0,PEN,PEN,True,True,PEN,True,False,PEN,True,False,True
